"mqtt_topic","mqtt_json_path","device","tag","yard_tag","target_type","terminal","cabinet","system","description","unit","precision","data_type"
"marpower/pvt/pvt1","total_active_power","PVT","PVT1_Total_Active_Power",,"Float",,"+CB.2","PVT","PVT1 Total Active Power","-",,"REAL"
"marpower/pvt/pvt1","total_power_factor","PVT","PVT1_Total_Power_Factor",,"Float",,"+CB.2","PVT","PVT1 Total Power Factor","-",,"REAL"
"marpower/pvt/pvt2","total_active_power","PVT","PVT2_Total_Active_Power",,"Float",,"+CB.2","PVT","PVT2 Total Active Power","-",,"REAL"
"marpower/pvt/pvt2","total_power_factor","PVT","PVT2_Total_Power_Factor",,"Float",,"+CB.2","PVT","PVT2 Total Power Factor","-",,"REAL"
"marpower/pvt/pvt3","total_active_power","PVT","PVT3_Total_Active_Power",,"Float",,"+CB.2","PVT","PVT3 Total Active Power","-",,"REAL"
"marpower/pvt/pvt3","total_power_factor","PVT","PVT3_Total_Power_Factor",,"Float",,"+CB.2","PVT","PVT3 Total Power Factor","-",,"REAL"
"marpower/shore-power","total_active_power","Shore power","SHORE1_Total_Active_Power",,"Float",,"+CB.2","Shore power","Shore power Total Active Power","-",,"REAL"
"marpower/shore-power","total_power_factor","Shore power","SHORE1_Total_Power_Factor",,"Float",,"+CB.2","Shore power","Shore power Total Power Factor","-",,"REAL"
"marpower/hydrogeneration/thruster1","total_active_power","Hydrogeneration","HYDRO1_Total_Active_Power",,"Float",,"+CB.2","Hydrogeneration","Thruster1 Total Active Power","-",,"REAL"
"marpower/hydrogeneration/thruster1","total_power_factor","Hydrogeneration","HYDRO1_Total_Power_Factor",,"Float",,"+CB.2","Hydrogeneration","Thruster1 Total Power Factor","-",,"REAL"
"marpower/hydrogeneration/thruster2","total_active_power","Hydrogeneration","HYDRO2_Total_Active_Power",,"Float",,"+CB.2","Hydrogeneration","Thruster2 Total Active Power","-",,"REAL"
"marpower/hydrogeneration/thruster2","total_power_factor","Hydrogeneration","HYDRO2_Total_Power_Factor",,"Float",,"+CB.2","Hydrogeneration","Thruster2 Total Power Factor","-",,"REAL"
"marpower/battery-dc-converter/brightloop1","voltage_a","Brightloop","BL1_Voltage_A",,"Float",,"+CB.2","Batteries","Brightloop1 Voltage side A","-",,"REAL"
"marpower/battery-dc-converter/brightloop1","voltage_b","Brightloop","BL1_Voltage_B",,"Float",,"+CB.2","Batteries","Brightloop1 Voltage side B","-",,"REAL"
"marpower/battery-dc-converter/brightloop1","current_a","Brightloop","BL1_Current_A",,"Float",,"+CB.2","Batteries","Brightloop1 Current side A","-",,"REAL"
"marpower/battery-dc-converter/brightloop1","current_b","Brightloop","BL1_Current_B",,"Float",,"+CB.2","Batteries","Brightloop1 Current side B","-",,"REAL"
"marpower/battery-dc-converter/brightloop2","voltage_a","Brightloop","BL2_Voltage_A",,"Float",,"+CB.2","Batteries","Brightloop2 Voltage side A","-",,"REAL"
"marpower/battery-dc-converter/brightloop2","voltage_b","Brightloop","BL2_Voltage_B",,"Float",,"+CB.2","Batteries","Brightloop2 Voltage side B","-",,"REAL"
"marpower/battery-dc-converter/brightloop2","current_a","Brightloop","BL2_Current_A",,"Float",,"+CB.2","Batteries","Brightloop2 Current side A","-",,"REAL"
"marpower/battery-dc-converter/brightloop2","current_b","Brightloop","BL2_Current_B",,"Float",,"+CB.2","Batteries","Brightloop2 Current side B","-",,"REAL"
"marpower/bms-master/bms-master1","stored_energy","JunctionBox","JB1_Stored_Energy",,"Float",,"+CB.2","Batteries","BMS Master1 Stored energy","-",,"REAL"
"marpower/bms-master/bms-master2","stored_energy","JunctionBox","JB2_Stored_Energy",,"Float",,"+CB.2","Batteries","BMS Master2 Stored energy","-",,"REAL"
"marpower/450000-24vdc-system-general","gen_service_14e1_voltage","KEB1","DB_GEN_SERVICE_14E1_VOLTAGE",,"Float",,"+CB.1","450000 24VDC SYSTEM","24 Vdc DB General Serivce 14E1 Voltage Measurement","V",,"REAL"
"marpower/450000-24vdc-system-general","gen_service_14e1_current","KEB1","DB_GEN_SERVICE_14E1_CURRENT",,"Float",,"+CB.1","450000 24VDC SYSTEM","24 Vdc DB General Service 14E1 Current Measurement","A",,"REAL"
"marpower/thruster/aft","azimuth0positionsensor","KEB10","Azimuth0positionsensorAftThruster",,"Bool",,,"AFT THRUSTER","Azimuth 0 position sensor Aft Thruster","A",,"BOOLEAN"
"marpower/thruster/aft","azimuthpositionfeedbackabsoluteencoder","KEB10","AzimuthPositionFeedbackAbsoluteEncoderAFTThruster",,"Float",,,"AFT THRUSTER","Azimuth Position Feedback Absolute Encoder AFT Thruster","A",,"REAL"
"marpower/thruster/aft","pitchpositionfeedbackabsoluteencoder","KEB10","PitchPositionFeedbackAbsoluteEncoderAFTThruster",,"Float",,,"AFT THRUSTER","Pitch Position Feedback Absolute Encoder AFT Thruster","A",,"REAL"
"marpower/thruster/aft","speedortorquesetpointsignal(aradex1)","KEB10","SpeedorTorqueSetpointSignalAFTThruster(Aradex1)",,"Float",,,"AFT THRUSTER","Speed or Torque Setpoint Signal AFT Thruster (Aradex1)","A",,"REAL"
"marpower/thruster/aft","speedortorquesetpointsignal(aradex2)","KEB10","SpeedorTorqueSetpointSignalAFTThruster(Aradex2)",,"Float",,,"AFT THRUSTER","Speed or Torque Setpoint Signal AFT Thruster (Aradex2)","A",,"REAL"
"marpower/thruster/aft","hydraulicpumpfrequencydrivespeedsignal","KEB10","HydraulicPumpFrequencyDriveSpeedSignalAFTThruster",,"Float",,,"AFT THRUSTER","Hydraulic Pump Frequency Drive Speed Signal AFT Thruster","A",,"REAL"
"marpower/thruster/aft","hydraulicpumpfrequencydriveenable","KEB10","HydraulicPumpFrequencyDriveEnableAFTThruster",,"Bool",,,"AFT THRUSTER","Hydraulic Pump Frequency Drive Enable AFT Thruster","A",,"BOOLEAN"
"marpower/thruster/aft","hydraulicpumprun(clockwise)","KEB10","HydraulicPumpRun(Clockwise)AFTThruster",,"Bool",,,"AFT THRUSTER","Hydraulic Pump Run ( Clockwise ) AFT Thruster","A",,"BOOLEAN"
"marpower/thruster/aft","hydraulicazimuthvalverightrotationdirection","KEB10","HydraulicAzimuthValveRightRotationDirectionAFTThuster",,"Bool",,,"AFT THRUSTER","Hydraulic Azimuth Valve Right Rotation Direction AFT Thuster","A",,"BOOLEAN"
"marpower/thruster/aft","hydraulicazimuthvalveleftrotationdirection","KEB10","HydraulicAzimuthValveLeftRotationDirectionAFTThruster",,"Bool",,,"AFT THRUSTER","Hydraulic Azimuth Valve Left Rotation Direction AFT Thruster","A",,"BOOLEAN"
"marpower/thruster/aft","hydraulicpitchvalveforwarddirection","KEB10","HydraulicPitchValveForwardDirectionAFTThruster",,"Bool",,,"AFT THRUSTER","Hydraulic Pitch Valve Forward Direction AFT Thruster","A",,"BOOLEAN"
"marpower/thruster/aft","hydraulicpitchvalvereversedirection","KEB10","HydraulicPitchValveReverseDirectionAFTThruster",,"Bool",,,"AFT THRUSTER","Hydraulic Pitch Valve Reverse Direction AFT Thruster","A",,"BOOLEAN"
"marpower/thruster/aft","flushvalve","KEB10","FlushValveMainThruster",,"Bool",,,"AFT THRUSTER","Flush Valve Main Thruster","A",,"BOOLEAN"
"marpower/thruster/aft","aradex1(speedortorquemodeselection)","KEB10","AftThrusterAradex1(SpeedorTorqueModeSelection)",,"Bool",,,"AFT THRUSTER","Aft Thruster Aradex1 (Speed or Torque Mode Selection)","A",,"BOOLEAN"
"marpower/thruster/aft","aradex2(speedortorquemodeselection)","KEB10","AftThrusterAradex2(SpeedorTorqueModeSelection)",,"Bool",,,"AFT THRUSTER","Aft Thruster Aradex2 (Speed or Torque Mode Selection)","A",,"BOOLEAN"
"marpower/thruster/fwd","azimuth0positionsensor","KEB11","Azimuth0positionsensorFWDThruster",,"Bool",,,"FWD THRUSTER","Azimuth 0 position sensor FWD Thruster","A",,"BOOLEAN"
"marpower/thruster/fwd","azimuthpositionfeedbackabsoluteencoder","KEB11","AzimuthPositionFeedbackAbsoluteEncoderFWDThruster",,"Float",,,"FWD THRUSTER","Azimuth Position Feedback Absolute Encoder FWD Thruster","A",,"REAL"
"marpower/thruster/fwd","pitchpositionfeedbackabsoluteencoder","KEB11","PitchPositionFeedbackAbsoluteEncoderFWDThruster",,"Float",,,"FWD THRUSTER","Pitch Position Feedback Absolute Encoder FWD Thruster","A",,"REAL"
"marpower/thruster/fwd","speedortorquesetpointsignal(aradex1)","KEB11","SpeedorTorqueSetpointSignalFWDThruster(Aradex1)",,"Float",,,"FWD THRUSTER","Speed or Torque Setpoint Signal FWD Thruster (Aradex1)","A",,"REAL"
"marpower/thruster/fwd","speedortorquesetpointsignal(aradex2)","KEB11","SpeedorTorqueSetpointSignalFWDThruster(Aradex2)",,"Float",,,"FWD THRUSTER","Speed or Torque Setpoint Signal FWD Thruster (Aradex2)","A",,"REAL"
"marpower/thruster/fwd","hydraulicpumpfrequencydrivespeedsignal","KEB11","HydraulicPumpFrequencyDriveSpeedSignalFWDThruster",,"Float",,,"FWD THRUSTER","Hydraulic Pump Frequency Drive Speed Signal FWD Thruster","A",,"REAL"
"marpower/thruster/fwd","hydraulicpumpfrequencydriveenable","KEB11","HydraulicPumpFrequencyDriveEnableFWDThruster",,"Bool",,,"FWD THRUSTER","Hydraulic Pump Frequency Drive Enable FWD Thruster","A",,"BOOLEAN"
"marpower/thruster/fwd","hydraulicpumprun(clockwise)","KEB11","HydraulicPumpRun(Clockwise)FWDThruster",,"Bool",,,"FWD THRUSTER","Hydraulic Pump Run ( Clockwise ) FWD Thruster","A",,"BOOLEAN"
"marpower/thruster/fwd","hydraulicazimuthvalverightrotationdirection","KEB11","HydraulicAzimuthValveRightRotationDirectionFWDThuster",,"Bool",,,"FWD THRUSTER","Hydraulic Azimuth Valve Right Rotation Direction FWD Thuster","A",,"BOOLEAN"
"marpower/thruster/fwd","hydraulicazimuthvalveleftrotationdirection","KEB11","HydraulicAzimuthValveLeftRotationDirectionFWDThruster",,"Bool",,,"FWD THRUSTER","Hydraulic Azimuth Valve Left Rotation Direction FWD Thruster","A",,"BOOLEAN"
"marpower/thruster/fwd","hydraulicpitchvalveforwarddirection","KEB11","HydraulicPitchValveForwardDirectionFWDThruster",,"Bool",,,"FWD THRUSTER","Hydraulic Pitch Valve Forward Direction FWD Thruster","A",,"BOOLEAN"
"marpower/thruster/fwd","hydraulicpitchvalvereversedirection","KEB11","HydraulicPitchValveReverseDirectionFWDThruster",,"Bool",,,"FWD THRUSTER","Hydraulic Pitch Valve Reverse Direction FWD Thruster","A",,"BOOLEAN"
"marpower/thruster/fwd","flushvalve","KEB11","FlushValveFWDThruster",,"Bool",,,"FWD THRUSTER","Flush Valve FWD Thruster","A",,"BOOLEAN"
"marpower/thruster/fwd","aradex1(speedortorquemodeselection)","KEB11","FWDThrusterAradex1(SpeedorTorqueModeSelection)",,"Bool",,,"FWD THRUSTER","FWD Thruster Aradex1 (Speed or Torque Mode Selection)","A",,"BOOLEAN"
"marpower/thruster/fwd","aradex2(speedortorquemodeselection)","KEB11","FWDThrusterAradex2(SpeedorTorqueModeSelection)",,"Bool",,,"FWD THRUSTER","FWD Thruster Aradex2 (Speed or Torque Mode Selection)","A",,"BOOLEAN"
"marpower/helm-console/ps","stationselect","KEB12","PSHelmStationSelect",,"Bool",,,"PS HELM CONSOLE","PS Helm Station Select","A",,"BOOLEAN"
"marpower/helm-console/ps","propulsionmodeselectaftthruster","KEB12","PSHelmPropulsionModeSelectAFTThruster",,"Bool",,,"PS HELM CONSOLE","PS Helm Propulsion Mode Select AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","maneuveringmodeselectaftthruster","KEB12","PSHelmManeuveringModeSelectAFTThruster",,"Bool",,,"PS HELM CONSOLE","PS Helm Maneuvering Mode Select AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","regenerationmodeselectaftthruster","KEB12","PSHelmRegenerationModeSelectAFTThruster",,"Bool",,,"PS HELM CONSOLE","PS Helm Regeneration Mode Select AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","propulsionmodeselectfwdthruster","KEB12","PSHelmPropulsionModeSelectFWDThruster",,"Bool",,,"PS HELM CONSOLE","PS Helm Propulsion Mode Select FWD Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","maneuveringmodeselectfwdthruster","KEB12","PSHelmManeuveringModeSelectFWDThruster",,"Bool",,,"PS HELM CONSOLE","PS Helm Maneuvering Mode Select FWD Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","regenerationmodeselectfwdthruster","KEB12","PSHelmRegenerationModeSelectFWDThruster",,"Bool",,,"PS HELM CONSOLE","PS Helm Regeneration Mode Select FWD Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","mainthrusterleverspeedsignal","KEB12","PSHelmMAINThrusterLeverSpeedSignal",,"Float",,,"PS HELM CONSOLE","PS Helm MAIN Thruster Lever Speed Signal","A",,"REAL"
"marpower/helm-console/ps","mainthrusterleverazimuthsignal","KEB12","PSHelmMAINThrusterLeverAzimuthSignal",,"Float",,,"PS HELM CONSOLE","PS Helm MAIN Thruster Lever Azimuth Signal","A",,"REAL"
"marpower/helm-console/ps","fwdthrusterleverspeedsignal","KEB12","PSHelmFWDThrusterLeverSpeedSignal",,"Float",,,"PS HELM CONSOLE","PS Helm FWD Thruster Lever Speed Signal","A",,"REAL"
"marpower/helm-console/ps","fwdthrusterleverazimuthsignal","KEB12","PSHelmFWDThrusterLeverAzimuthSignal",,"Float",,,"PS HELM CONSOLE","PS Helm FWD Thruster Lever Azimuth Signal","A",,"REAL"
"marpower/helm-console/ps","stationselected","KEB12","PSHelmStationSelected",,"Bool",,,"PS HELM CONSOLE","PS Helm Station Selected","A",,"BOOLEAN"
"marpower/helm-console/ps","propulsionmodeselectedaftthruster","KEB12","PSHelmPropulsionModeSelectedAFTThruster",,"Bool",,,"PS HELM CONSOLE","PS Helm Propulsion Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","moeveringmodeselectedaftthruster","KEB12","PSHelmMoeveringModeSelectedAFTThruster",,"Bool",,,"PS HELM CONSOLE","PS Helm Moevering Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","regenerationmodeselectedaftthruster","KEB12","PSHelmRegenerationModeSelectedAFTThruster",,"Bool",,,"PS HELM CONSOLE","PS Helm Regeneration Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","propulsionmodeselectedfwdthruster","KEB12","PSHelmPropulsionModeSelectedFWDThruster",,"Bool",,,"PS HELM CONSOLE","PS Helm Propulsion Mode Selected FWD Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","moeveringmodeselectedfwdthruster","KEB12","PSHelmMoeveringModeSelectedFWDThruster",,"Bool",,,"PS HELM CONSOLE","PS Helm Moevering Mode Selected FWD Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","regenerationmodeselectedfwdthruster","KEB12","PSHelmRegenerationModeSelectedFWDThruster",,"Bool",,,"PS HELM CONSOLE","PS Helm Regeneration Mode Selected FWD Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","stationselect","KEB13","SBHelmStationSelect",,"Bool",,,"SB HELM CONSOLE","SB Helm Station Select","A",,"BOOLEAN"
"marpower/helm-console/sb","propulsionmodeselectfwdthruster","KEB13","SBHelmPropulsionModeSelectFWDThruster",,"Bool",,,"SB HELM CONSOLE","SB Helm Propulsion Mode Select FWD Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","maneuveringmodeselectfwdthruster","KEB13","SBHelmManeuveringModeSelectFWDThruster",,"Bool",,,"SB HELM CONSOLE","SB Helm Maneuvering Mode Select FWD Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","regenerationmodeselectfwdthruster","KEB13","SBHelmRegenerationModeSelectFWDThruster",,"Bool",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Select FWD Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","propulsionmodeselectaftthruster","KEB13","SBHelmPropulsionModeSelectAFTThruster",,"Bool",,,"SB HELM CONSOLE","SB Helm Propulsion Mode Select AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","maneuveringmodeselectaftthruster","KEB13","SBHelmManeuveringModeSelectAFTThruster",,"Bool",,,"SB HELM CONSOLE","SB Helm Maneuvering Mode Select AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","regenerationmodeselectaftthruster","KEB13","SBHelmRegenerationModeSelectAFTThruster",,"Bool",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Select AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","mainthrusterleverspeedsignal","KEB13","SBHelmMAINThrusterLeverSpeedSignal",,"Float",,,"SB HELM CONSOLE","SB Helm MAIN Thruster Lever Speed Signal","A",,"REAL"
"marpower/helm-console/sb","mainthrusterleverazimuthsignal","KEB13","SBHelmMAINThrusterLeverAzimuthSignal",,"Float",,,"SB HELM CONSOLE","SB Helm MAIN Thruster Lever Azimuth Signal","A",,"REAL"
"marpower/helm-console/sb","fwdthrusterleverspeedsignal","KEB13","SBHelmFWDThrusterLeverSpeedSignal",,"Float",,,"SB HELM CONSOLE","SB Helm FWD Thruster Lever Speed Signal","A",,"REAL"
"marpower/helm-console/sb","fwdthrusterleverazimuthsignal","KEB13","SBHelmFWDThrusterLeverAzimuthSignal",,"Float",,,"SB HELM CONSOLE","SB Helm FWD Thruster Lever Azimuth Signal","A",,"REAL"
"marpower/helm-console/sb","stationselected","KEB13","SBHelmStationSelected",,"Bool",,,"SB HELM CONSOLE","SB Helm Station Selected","A",,"BOOLEAN"
"marpower/helm-console/sb","propulsionmodeselectedfwdthruster","KEB13","SBHelmPropulsionModeSelectedFWDThruster",,"Bool",,,"SB HELM CONSOLE","SB Helm Propulsion Mode Selected FWD Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","moeveringmodeselectedfwdthruster","KEB13","SBHelmMoeveringModeSelectedFWDThruster",,"Bool",,,"SB HELM CONSOLE","SB Helm Moevering Mode Selected FWD Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","regenerationmodeselectedfwdthruster","KEB13","SBHelmRegenerationModeSelectedFWDThruster",,"Bool",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected FWD Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","propulsionmodeselectedaftthruster","KEB13","SBHelmPropulsionModeSelectedAFTThruster",,"Bool",,,"SB HELM CONSOLE","SB Helm Propulsion Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","moeveringmodeselectedaftthruster","KEB13","SBHelmMoeveringModeSelectedAFTThruster",,"Bool",,,"SB HELM CONSOLE","SB Helm Moevering Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","regenerationmodeselectedaftthruster","KEB13","SBHelmRegenerationModeSelectedAFTThruster",,"Bool",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","aft_thruster_master_slave","KEB13","AFT Thruster PS Helm Master/Slave",,"Bool",,,"PS HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","fwd_thruster_master_slave","KEB13","FWD Thruster PS Helm Master/Slave",,"Bool",,,"PS HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","aft_thruster_master_slave","KEB13","AFT Thruster SB Helm Master/Slave",,"Bool",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","fwd_thruster_master_slave","KEB13","FWD Thruster SB Helm Master/Slave",,"Bool",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","aft_thruster_value_sensor_1","KEB13","AFT Thruster PS Helm value sensor 1",,"Float",,,"PS HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/ps","fwd_thruster_value_sensor_1","KEB13","FWD Thruster PS Helm value sensor 1",,"Float",,,"PS HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/sb","aft_thruster_value_sensor_1","KEB13","AFT Thruster SB Helm value sensor 1",,"Float",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/sb","fwd_thruster_value_sensor_1","KEB13","FWD Thruster SB Helm value sensor 1",,"Float",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/ps","aft_thruster_value_sensor_2","KEB13","AFT Thruster PS Helm value sensor 2",,"Float",,,"PS HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/ps","fwd_thruster_value_sensor_2","KEB13","FWD Thruster PS Helm value sensor 2",,"Float",,,"PS HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/sb","aft_thruster_value_sensor_2","KEB13","AFT Thruster SB Helm value sensor 2",,"Float",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/sb","fwd_thruster_value_sensor_2","KEB13","FWD Thruster SB Helm value sensor 2",,"Float",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/ps","aft_thruster_setpoint_motor_1","KEB13","AFT Thruster PS Helm setpoint motor 1",,"Float",,,"PS HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/ps","fwd_thruster_setpoint_motor_1","KEB13","FWD Thruster PS Helm setpoint motor 1",,"Float",,,"PS HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/sb","aft_thruster_setpoint_motor_1","KEB13","AFT Thruster SB Helm setpoint motor 1",,"Float",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/sb","fwd_thruster_setpoint_motor_1","KEB13","FWD Thruster SB Helm setpoint motor 1",,"Float",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/ps","aft_thruster_setpoint_motor_2","KEB13","AFT Thruster PS Helm setpoint motor 2",,"Float",,,"PS HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/ps","fwd_thruster_setpoint_motor_2","KEB13","FWD Thruster PS Helm setpoint motor 2",,"Float",,,"PS HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/sb","aft_thruster_setpoint_motor_2","KEB13","AFT Thruster SB Helm setpoint motor 2",,"Float",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/sb","fwd_thruster_setpoint_motor_2","KEB13","FWD Thruster SB Helm setpoint motor 2",,"Float",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/thruster/aft","aradex_1_speed_feedback","KEB13","AFT Thruster Aradex 1 speed feedback",,"Float",,,"AFT THRUSTER","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/thruster/aft","aradex_2_speed_feedback","KEB13","AFT Thruster Aradex 2 speed feedback",,"Float",,,"AFT THRUSTER","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/thruster/fwd","aradex_1_speed_feedback","KEB13","FWD Thruster Aradex 1 speed feedback",,"Float",,,"FWD THRUSTER","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/thruster/fwd","aradex_2_speed_feedback","KEB13","FWD Thruster Aradex 2 speed feedback",,"Float",,,"FWD THRUSTER","SB Helm Regeneration Mode Selected AFT Thruster","A",,"REAL"
"marpower/helm-console/ps","aft_thruster_force_feedback_enabled","KEB13","AFT Thruster PS Helm Force Feedback enabled",,"Bool",,,"PS HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","fwd_thruster_force_feedback_enabled","KEB13","FWD Thruster PS Helm Force Feedback enabled",,"Bool",,,"PS HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","aft_thruster_force_feedback_enabled","KEB13","AFT Thruster SB Helm Force Feedback enabled",,"Bool",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/sb","fwd_thruster_force_feedback_enabled","KEB13","FWD Thruster SB Helm Force Feedback enabled",,"Bool",,,"SB HELM CONSOLE","SB Helm Regeneration Mode Selected AFT Thruster","A",,"BOOLEAN"
"marpower/helm-console/ps","mainthrusterleverazimuthsignal_x","KEB12","PSHelmMAINThrusterLeverAzimuthSignal_X",,"Float",,,"PS HELM CONSOLE","PS Helm MAIN Thruster Lever Azimuth Signal X","A",,"REAL"
"marpower/helm-console/ps","mainthrusterleverazimuthsignal_y","KEB12","PSHelmMAINThrusterLeverAzimuthSignal_Y",,"Float",,,"PS HELM CONSOLE","PS Helm MAIN Thruster Lever Azimuth Signal Y","A",,"REAL"
"marpower/helm-console/ps","fwdthrusterleverazimuthsignal_x","KEB12","PSHelmFWDThrusterLeverAzimuthSignal_X",,"Float",,,"PS HELM CONSOLE","PS Helm FWD Thruster Lever Azimuth Signal X","A",,"REAL"
"marpower/helm-console/ps","fwdthrusterleverazimuthsignal_y","KEB12","PSHelmFWDThrusterLeverAzimuthSignal_Y",,"Float",,,"PS HELM CONSOLE","PS Helm FWD Thruster Lever Azimuth Signal Y","A",,"REAL"
"marpower/helm-console/sb","mainthrusterleverazimuthsignal_x","KEB13","SBHelmMAINThrusterLeverAzimuthSignal_X",,"Float",,,"SB HELM CONSOLE","SB Helm MAIN Thruster Lever Azimuth Signal X","A",,"REAL"
"marpower/helm-console/sb","mainthrusterleverazimuthsignal_y","KEB13","SBHelmMAINThrusterLeverAzimuthSignal_Y",,"Float",,,"SB HELM CONSOLE","SB Helm MAIN Thruster Lever Azimuth Signal Y","A",,"REAL"
"marpower/helm-console/sb","fwdthrusterleverazimuthsignal_x","KEB13","SBHelmFWDThrusterLeverAzimuthSignal_X",,"Float",,,"SB HELM CONSOLE","SB Helm FWD Thruster Lever Azimuth Signal X","A",,"REAL"
"marpower/helm-console/sb","fwdthrusterleverazimuthsignal_y","KEB13","SBHelmFWDThrusterLeverAzimuthSignal_Y",,"Float",,,"SB HELM CONSOLE","SB Helm FWD Thruster Lever Azimuth Signal Y","A",,"REAL"
"marpower/thruster/aft","aradex_1_torque_feedback","KEB13","AFT Thruster Aradex 1 torque feedback",,"Float",,,"AFT THRUSTER","SB Helm FWD Thruster Lever Azimuth Signal Y","A",,"REAL"
"marpower/thruster/aft","aradex_2_torque_feedback","KEB13","AFT Thruster Aradex 2 torque feedback",,"Float",,,"AFT THRUSTER","SB Helm FWD Thruster Lever Azimuth Signal Y","A",,"REAL"
"marpower/thruster/fwd","aradex_1_torque_feedback","KEB13","FWD Thruster Aradex 1 torque feedback",,"Float",,,"FWD THRUSTER","SB Helm FWD Thruster Lever Azimuth Signal Y","A",,"REAL"
"marpower/thruster/fwd","aradex_2_torque_feedback","KEB13","FWD Thruster Aradex 2 torque feedback",,"Float",,,"FWD THRUSTER","SB Helm FWD Thruster Lever Azimuth Signal Y","A",,"REAL"
