Version date,22-9-2025,Revision nr,13,,,,,,,,,,,,,,
Simulation module,System,Pos,Sub,Component name,technical name,Type,Brand,Remarks,Material / description,"Voltage, capacity, power",Variable type,Variable,Included in simulation,Units,Modelica name,MQTT topic,MQTT key
,Buffer tanks,50001067,11,2 way valve DN 25,valve-2w-buffer-tank1-in,R425+LR24A-MOD +  EXT-OC-ZR425,Belimo,,,,,Relative position,,,,,
,Buffer tanks,50001067,11,2 way valve DN 25,valve-2w-buffer-tank1-in,R425+LR24A-MOD +  EXT-OC-ZR425,Belimo,,,,,Absolute position,,,,,
,Buffer tanks,50001067,13,2 way valve DN 25,valve-2w-buffer-tank1-out,R425+LR24A-MOD +  EXT-OC-ZR425,Belimo,,,,,Setpoint,,,,,
,Buffer tanks,50001067,13,2 way valve DN 25,valve-2w-buffer-tank1-out,R425+LR24A-MOD +  EXT-OC-ZR425,Belimo,,,,,Relative position,,,,,
,Buffer tanks,50001067,13,2 way valve DN 25,valve-2w-buffer-tank1-out,R425+LR24A-MOD +  EXT-OC-ZR425,Belimo,,,,,Absolute position,,,,,
,Buffer tanks,50001086,09,"2 way valve DN 32, fig.7752",,12427454,Econ,,,,,,,,,,
,Buffer tanks,50001086,10,"2 way valve DN 32, fig.7752",,12427454,Econ,,,,,,,,,,
,Buffer tanks,50001101,01,Ball valve PP-RCT d25,,7911 0700 11,B'R Econtec,,,,,,,,,,
,Buffer tanks,50001101,02,Ball valve PP-RCT d25,,7911 0700 11,B'R Econtec,,,,,,,,,,
,Buffer tanks,50001101,03,Ball valve PP-RCT d25,,7911 0700 11,B'R Econtec,,,,,,,,,,
,Buffer tanks,50001101,04,Ball valve PP-RCT d25,,7911 0700 11,B'R Econtec,,,,,,,,,,
,Buffer tanks,50001101,05,Ball valve PP-RCT d25,,7911 0700 11,B'R Econtec,,,,,,,,,,
,Buffer tanks,50001101,06,Ball valve PP-RCT d25,,7911 0700 11,B'R Econtec,,,,,,,,,,
