Variable key,Technical name,name in LC sheet by Stevo,Sailpack table name,Sailpack row label,Sailpack column label,Note on getting var from Sailpack
fiber-optic-mizzen-forestay,fiber-optic-mizzen-forestay,Mizzen headstay,CABLE DATA,CABLE_MIZ_FS,Load (N),
fiber-optic-mizzen-v1-sb,fiber-optic-mizzen-v1-sb,Mizzen V1,CABLE DATA,CABLE_M_V1S,Load (N),
fiber-optic-mizzen-d1-ps,fiber-optic-mizzen-d1-ps,Mizzen D1,CABLE DATA,CABLE_MD1P,Load (N),
,,,,,,
,,,,,,
mizzen-runner-load,mizzen-runner-load-ps,Mizzen runner (remap?),CABLE DATA,CABLE_MIZZ_RUNNER,Load (N),2 x Mizzen Runner Tail Load Pin load x cos(17) – (Mizzen Check Stay Load Cell x cos(8)).
fiber-optic-mizzen-d1-sb,fiber-optic-mizzen-d1-sb,Mizzen D1,CABLE DATA,CABLE_MD1S,Load (N),
aft-winch-load,aft-winch-load-ps,Trisail Sheet,CABLE DATA,CABLE_TRISAIL_SHEET_PORT,Load (N),May also carry  loads from other applications - Mizzen Auxilary or Mizzen Jib sheet for example
mizzen-checkstay-deflector-relative-position,mizzen-checkstay-deflector-relative-position,Mizzen checkstay deflector,CABLE DATA,CABLE_MIZZ_CHECKSTAY_DEFLECTOR,Trimming value (N or m),
mizzen-sheet-load,mizzen-sheet-load,Mizzen sheet load,CABLE DATA,CABLE_MIZZENSHEET,Load (N),Need to decide if we should display this as 1:1 or 2:1 load. Load from SailPack is 1:1
mizzen-cunningham-load,mizzen-cunningham-load,Mizzen cunno,CABLE DATA,CABLE_MIZZEN_CUNN,Load (N),
mizzen-cunningham-relative-position,mizzen-cunningham-relative-position,Mizzen cunno,CABLE DATA,CABLE_MIZZEN_CUNN,Trimming value (N or m),
mizzen-outhaul-load,mizzen-outhaul-load,Mizzen outhaul / REEF,CABLE DATA,CABLE_MIZZENCLEW,Load (N),
mizzen-outhaul-relative-position,mizzen-outhaul-relative-position,Mizzen outhaul / REEF,CABLE DATA,CABLE_MIZZENCLEW,Trimming value (N or m),
mizzen-halyard-load,mizzen-halyard-load,-,CABLE DATA,CABLE_MIZZENHEAD_V,Load (N),
