module,folder,instanceKey,componentType,title,tooltipTitle,tooltipComponentType,tooltipTechnicalName,slotId,slotLabel,kind,valueKind,fieldType,fieldName,sourceModule,customTitle,customYardTag,customTechnicalName,literalValue,refTarget,pidType,pidControllerField,pidSetpointField,pidOutputMinimumField,notes
dhw,heat-exchangers,1007,HeatExchanger,Consumers Exchanger,Heat Exchanger,Heat Exchanger,,custom.sideA,Custom › sideA,custom,enum,,,,,,,,enum:HeatExchangerPortOrientation.Side,,,,,
dhw,heat-exchangers,1007,HeatExchanger,Consumers Exchanger,Heat Exchanger,Heat Exchanger,,custom.sideB,Custom › sideB,custom,enum,,,,,,,,enum:HeatExchangerPortOrientation.Top,,,,,
dhw,heat-exchangers,1007,HeatExchanger,Consumers Exchanger,Heat Exchanger,Heat Exchanger,,sensors.flow,sensors › flow,sensors,field,sensor:flow,dhwFlowBoosting,dhw,,,,,,,,,,
dhw,heat-exchangers,1007,HeatExchanger,Consumers Exchanger,Heat Exchanger,Heat Exchanger,,sensors.incoming,sensors › incoming,sensors,field,sensor:temperature,dhwTemperatureBoostingReturn,dhw,,,,,,,,,,
dhw,heat-exchangers,1007,HeatExchanger,Consumers Exchanger,Heat Exchanger,Heat Exchanger,,sensors.outgoing,sensors › outgoing,sensors,field,sensor:temperature,dhwTemperatureBoostingSupply,dhw,,,,,,,,,,
dhw,heat-exchangers,1007,HeatExchanger,Consumers Exchanger,Heat Exchanger,Heat Exchanger,,source,Source,source,field,sensor:heatExchanger,dhwConsumersExchanger,dhw,,,,,,,,,,
dhw,heat-exchangers,1008,HeatExchanger,Dc Exchanger,Heat Exchanger,Heat Exchanger,,custom.exchangeCircuit,Custom › exchangeCircuit,custom,ref,,,,,,,,brightloop,,,,,
dhw,heat-exchangers,1008,HeatExchanger,Dc Exchanger,Heat Exchanger,Heat Exchanger,,custom.sideA,Custom › sideA,custom,enum,,,,,,,,enum:HeatExchangerPortOrientation.Side,,,,,
dhw,heat-exchangers,1008,HeatExchanger,Dc Exchanger,Heat Exchanger,Heat Exchanger,,custom.sideB,Custom › sideB,custom,enum,,,,,,,,enum:HeatExchangerPortOrientation.Top,,,,,
dhw,heat-exchangers,1008,HeatExchanger,Dc Exchanger,Heat Exchanger,Heat Exchanger,,sensors.flow,sensors › flow,sensors,field,sensor:flow,dhwFlowDc,dhw,,,,,,,,,,
dhw,heat-exchangers,1008,HeatExchanger,Dc Exchanger,Heat Exchanger,Heat Exchanger,,sensors.incoming,sensors › incoming,sensors,field,sensor:temperature,dhwTemperatureHvacExchangerReturn,dhw,,,,,,,,,,
dhw,heat-exchangers,1008,HeatExchanger,Dc Exchanger,Heat Exchanger,Heat Exchanger,,sensors.outgoing,sensors › outgoing,sensors,field,sensor:temperature,dhwTemperatureDcReturn,dhw,,,,,,,,,,
dhw,heat-exchangers,1008,HeatExchanger,Dc Exchanger,Heat Exchanger,Heat Exchanger,,source,Source,source,field,sensor:heatExchanger,dhwDcExchanger,dhw,,,,,,,,,,
dhw,heat-exchangers,1009,HeatExchanger,Drives Exchanger,Heat Exchanger,Heat Exchanger,,custom.exchangeCircuit,Custom › exchangeCircuit,custom,ref,,,,,,,,drives,,,,,
dhw,heat-exchangers,1009,HeatExchanger,Drives Exchanger,Heat Exchanger,Heat Exchanger,,custom.sideA,Custom › sideA,custom,enum,,,,,,,,enum:HeatExchangerPortOrientation.Side,,,,,
dhw,heat-exchangers,1009,HeatExchanger,Drives Exchanger,Heat Exchanger,Heat Exchanger,,custom.sideB,Custom › sideB,custom,enum,,,,,,,,enum:HeatExchangerPortOrientation.Top,,,,,
dhw,heat-exchangers,1009,HeatExchanger,Drives Exchanger,Heat Exchanger,Heat Exchanger,,sensors.flow,sensors › flow,sensors,field,sensor:flow,dhwFlowDrives,dhw,,,,,,,,,,
dhw,heat-exchangers,1009,HeatExchanger,Drives Exchanger,Heat Exchanger,Heat Exchanger,,sensors.incoming,sensors › incoming,sensors,field,sensor:temperature,dhwTemperatureHvacExchangerReturn,dhw,,,,,,,,,,
dhw,heat-exchangers,1009,HeatExchanger,Drives Exchanger,Heat Exchanger,Heat Exchanger,,sensors.outgoing,sensors › outgoing,sensors,field,sensor:temperature,dhwTemperatureDrivesReturn,dhw,,,,,,,,,,
dhw,heat-exchangers,1009,HeatExchanger,Drives Exchanger,Heat Exchanger,Heat Exchanger,,source,Source,source,field,sensor:heatExchanger,dhwDrivesExchanger,dhw,,,,,,,,,,
dhw,level-sensors,1056-01,LevelSensor,Level Tank1,Tank level sensor,Tank level sensor,,source,Source,source,field,sensor:level,dhwLevelTank1,dhw,,,,,,,,,,
dhw,level-sensors,1056-02,LevelSensor,Level Tank2,Tank level sensor,Tank level sensor,,source,Source,source,field,sensor:level,dhwLevelTank2,dhw,,,,,,,,,,
dhw,level-sensors,1056-03,LevelSensor,Level Tank3,Tank level sensor,Tank level sensor,,source,Source,source,field,sensor:level,dhwLevelTank3,dhw,,,,,,,,,,
dhw,level-switches,1098-01,LevelSwitch,Level Switch Tank1,Level switch,Level switch,,source,Source,source,field,sensor:levelSwitch,dhwLevelSwitchTank1,dhw,,,,,,,,,,
