module,section,field,componentType,valveType,yardTag,technicalName,friendlyName
dc,sensorValues,dcFlowUgridReturn,sensor:flow,,50001058-06,dc-flow-ugrid-return,FlowUgridReturn
dc,sensorValues,dcSwitchAft4,sensor:valve,switch,50001068-01,dc-switch-aft4,SwitchAft4
dc,sensorValues,dcSwitchAft3,sensor:valve,switch,50001068-02,dc-switch-aft3,SwitchAft3
dc,sensorValues,dcSwitchAft2,sensor:valve,switch,50001068-03,dc-switch-aft2,SwitchAft2
dc,sensorValues,dcSwitchAft1,sensor:valve,switch,50001068-04,dc-switch-aft1,SwitchAft1
dc,sensorValues,dcSwitchFwd2,sensor:valve,switch,50001068-05,dc-switch-fwd2,SwitchFwd2
dc,sensorValues,dcSwitchFwd1,sensor:valve,switch,50001068-06,dc-switch-fwd1,SwitchFwd1
dc,sensorValues,dcSwitchUgrid2,sensor:valve,switch,50001069-02,dc-switch-ugrid2,SwitchUgrid2
dc,sensorValues,dcSwitchUgrid1,sensor:valve,switch,50001069-03,dc-switch-ugrid1,SwitchUgrid1
dc,sensorValues,dcPressureAft,sensor:pressure,,50001097-07,dc-pressure-aft,PressureAft
dc,sensorValues,dcPressureUgrid,sensor:pressure,,50001097-08,dc-pressure-ugrid,PressureUgrid
dc,sensorValues,dcPressureFwd,sensor:pressure,,50001097-09,dc-pressure-fwd,PressureFwd
dc,sensorValues,dcBrightloopAft1,sensor:brightloop,,45002076,dc-brightloop-aft1,BrightloopAft1
dc,sensorValues,dcBrightloopAft2,sensor:brightloop,,45002075,dc-brightloop-aft2,BrightloopAft2
dc,sensorValues,dcBrightloopAft3,sensor:brightloop,,45002074,dc-brightloop-aft3,BrightloopAft3
dc,sensorValues,dcBrightloopAft4,sensor:brightloop,,45002073,dc-brightloop-aft4,BrightloopAft4
dc,sensorValues,dcBrightloopFwd1,sensor:brightloop,,45002078,dc-brightloop-fwd1,BrightloopFwd1
dc,sensorValues,dcBrightloopFwd2,sensor:brightloop,,45002077,dc-brightloop-fwd2,BrightloopFwd2
dc,sensorValues,dcUgrid1,sensor:ugrid,,45002082,dc-ugrid1,Ugrid1
dc,sensorValues,dcUgrid2,sensor:ugrid,,45002081,dc-ugrid2,Ugrid2
dc,controlValues,dcPumpAft,control:pump,,50001020,dc-pump-aft,PumpAft
dc,controlValues,dcPumpFwd,control:pump,,50001025,dc-pump-fwd,PumpFwd
