module,section,field,componentType,valveType,yardTag,technicalName,friendlyName
drives,sensorValues,drivesSwitchShorepowerSupply,sensor:valve,switch,50001069-04,drives-switch-shorepower-supply,SwitchShorepowerSupply
drives,sensorValues,drivesSwitchShorepowerReturn,sensor:valve,switch,50001069-05,drives-switch-shorepower-return,SwitchShorepowerReturn
drives,sensorValues,drivesSwitchPropdriveAft1,sensor:valve,switch,50001069-06,drives-switch-propdrive-aft1,SwitchPropdriveAft1
drives,sensorValues,drivesSwitchPropdriveAft2,sensor:valve,switch,50001069-09,drives-switch-propdrive-aft2,SwitchPropdriveAft2
drives,sensorValues,drivesSwitchPropdriveFwd1,sensor:valve,switch,50001069-07,drives-switch-propdrive-fwd1,SwitchPropdriveFwd1
drives,sensorValues,drivesSwitchPropdriveFwd2,sensor:valve,switch,50001069-08,drives-switch-propdrive-fwd2,SwitchPropdriveFwd2
drives,sensorValues,drivesPressure,sensor:pressure,,50001097-10,drives-pressure,Pressure
drives,sensorValues,drivesPropdriveAft1,sensor:propulsionDrive,,45002079,drives-propdrive-aft1,PropdriveAft1
drives,sensorValues,drivesPropdriveAft2,sensor:propulsionDrive,,45002079,drives-propdrive-aft2,PropdriveAft2
drives,sensorValues,drivesPropdriveFwd1,sensor:propulsionDrive,,45002080,drives-propdrive-fwd1,PropdriveFwd1
drives,sensorValues,drivesPropdriveFwd2,sensor:propulsionDrive,,45002080,drives-propdrive-fwd2,PropdriveFwd2
drives,sensorValues,drivesShorepower,sensor:shorePowerConverter,,45002001,drives-shorepower,Shorepower
drives,controlValues,drivesPump1,control:pump,,50001028,drives-pump1,Pump1
drives,controlValues,drivesPump2,control:pump,,50001029,drives-pump2,Pump2
drives,controlValues,drivesMixExchanger,control:valve,mix,50001046-01,drives-mix-exchanger,MixExchanger
drives,controlValues,drivesMixRecovery,control:valve,mix,50001046-03,drives-mix-recovery,MixRecovery
drives,controlValues,drivesFlowcontrolPropdriveAft,control:valve,flowcontrol,50001065-02,drives-flowcontrol-propdrive-aft,FlowcontrolPropdriveAft
drives,controlValues,drivesFlowcontrolPropdriveFwd,control:valve,flowcontrol,50001065-03,drives-flowcontrol-propdrive-fwd,FlowcontrolPropdriveFwd
drives,controlValues,drivesSwitchShorepowerSupply,control:valve,switch,50001069-04,drives-switch-shorepower-supply,SwitchShorepowerSupply
drives,controlValues,drivesSwitchShorepowerReturn,control:valve,switch,50001069-05,drives-switch-shorepower-return,SwitchShorepowerReturn
drives,controlValues,drivesSwitchPropdriveAft1,control:valve,switch,50001069-06,drives-switch-propdrive-aft1,SwitchPropdriveAft1
drives,controlValues,drivesSwitchPropdriveAft2,control:valve,switch,50001069-09,drives-switch-propdrive-aft2,SwitchPropdriveAft2
drives,controlValues,drivesSwitchPropdriveFwd1,control:valve,switch,50001069-07,drives-switch-propdrive-fwd1,SwitchPropdriveFwd1
drives,controlValues,drivesSwitchPropdriveFwd2,control:valve,switch,50001069-08,drives-switch-propdrive-fwd2,SwitchPropdriveFwd2
drives,parameters,shorepowerMaximumSupplyTemperature,parameter:temperature,,,shorepower-maximum-supply-temperature,ShorepowerMaximumSupplyTemperature
drives,parameters,propulsionMaximumSupplyTemperature,parameter:temperature,,,propulsion-maximum-supply-temperature,PropulsionMaximumSupplyTemperature
drives,parameters,recoveryTemperature,parameter:temperature,,,recovery-temperature,RecoveryTemperature
drives,parameters,shorepowerFlowSetpoint,parameter:flow,,,shorepower-flow-setpoint,ShorepowerFlowSetpoint
drives,parameters,propulsionDrivesFlowSetpoint,parameter:flow,,,propulsion-drives-flow-setpoint,PropulsionDrivesFlowSetpoint
drives,parameters,pumpTuning,parameter:tuning,,,pump-tuning,PumpTuning
drives,parameters,recoveryMixTuning,parameter:tuning,,,recovery-mix-tuning,RecoveryMixTuning
drives,parameters,heatDumpTuning,parameter:tuning,,,heat-dump-tuning,HeatDumpTuning
drives,parameters,aftFlowBalanceTuning,parameter:tuning,,,aft-flow-balance-tuning,AftFlowBalanceTuning
drives,parameters,fwdFlowBalanceTuning,parameter:tuning,,,fwd-flow-balance-tuning,FwdFlowBalanceTuning
